"IncidentNumber","Year","Ward","Borough","PumpCount","PumpHoursTotal","Type","PropertyCategory","RescueType","RescueCost"
"106536091",2009,"Leyton","Waltham Forest","1","1","Bird","Dwelling","Other animal assistance",260
"106585091",2009,"Crystal Palace & Upper Norwood","Croydon","1","1","Cat","Outdoor","Animal rescue from height",260
"106628091",2009,"Kenley","Croydon","1","1","Cat","Non Residential","Animal rescue from height",260
"106786091",2009,"Brunswick Park","Barnet","1","1","Cat","Outdoor","Animal rescue from height",260
"106858091",2009,"St. Ann's","Haringey","1","1","Cat","Dwelling","Animal rescue from height",260
"107370091",2009,"North Greenford","Ealing","1","1","Unknown","Dwelling","Animal rescue from below ground",260
"107995091",2009,"Hyde Park","Westminster","1","1","Bird","Dwelling","Animal rescue from height",260
"108839091",2009,"Bromley Common And Keston","Bromley","1","1","Dog","Dwelling","Other animal assistance",260
"109011091",2009,"Broad Green","Croydon","1","1","Dog","Outdoor Structure","Other animal assistance",260
"109020091",2009,"Sydenham","Lewisham","1","1","Cat","Non Residential","Animal rescue from below ground",260
"110129091",2009,"Downham","Lewisham","1","1","Cat","Dwelling","Other animal assistance",260
"110478091",2009,"Seven Sisters","Haringey","1","1","Cat","Outdoor","Animal rescue from height",260
"110527091",2009,"Lesnes Abbey","Bexley","1","1","Bird","Outdoor Structure","Animal rescue from below ground",260
"110531091",2009,"Townfield","Hillingdon","1","1","Deer","Outdoor","Other animal assistance",260
